4,157,200,37,44,1.35,42,24,11,2,6,2,100
4,184,247,38,55,1.58,46,21,15,3,0,2,91
2,111,88,16,27,0.87,46,19,15,3,1,3,90
2,107,55,15,35,1.08,25,19,15,3,1,2,91
2,98,81,17,36,0.82,19,19,15,3,2,2,88
1,73,49,10,34,0.94,20,20,13,3,3,2,85
3,125,107,21,36,1.23,34,19,9,0,2,2,80
2,113,85,24,39,0.95,34,19,9,0,0,3,83
2,81,119,25,49,1.1,30,21,9,2,0,3,78
3,128,153,16,45,1.35,36,22,10,0,4,2,83
3,135,172,22,43,0.95,33,23,11,2,2,3,83
4,199,252,28,52,1.78,28,20,16,3,1,2,85
5,210,212,20,43,1.62,28,18,13,3,3,3,88
3,70,36,15,23,0.79,33,15,9,2,1,3,85
1,81,51,24,27,0.86,31,15,9,1,1,3,85
1,65,85,23,35,0.85,26,15,8,1,1,2,88
1,75,98,25,36,0.97,27,17,10,1,2,3,85
2,113,159,24,38,1.07,29,18,5,0,6,2,83
2,108,260,27,42,0.91,32,18,7,2,2,2,84
2,89,200,20,36,0.8,34,15,3,0,2,3,89
2,91,184,22,36,0.78,28,16,3,0,0,2,91
2,95,149,30,44,1.09,31,17,2,0,2,3,53
3,134,181,40,53,1.29,26,18,3,2,7,2,50
3,142,192,31,57,1.39,29,18,8,2,0,3,55
3,177,251,49,70,1.92,25,19,7,0,2,2,60
5,225,264,35,53,1.93,26,19,9,1,2,3,78
5,194,187,31,45,1.7,22,13,9,3,2,2,65
4,96,47,16,24,1.05,33,14,4,0,3,4,55
1,71,200,20,24,0.77,37,15,2,2,0,3,86
2,98,238,22,38,1.32,26,8,2,0,2,2,65
2,65,96,28,28,0.74,32,10,-2,0,2,3,74
1,49,82,27,28,0.67,34,12,-3,0,3,3,56
1,50,89,25,33,0.74,37,15,0,2,6,3,47
1,48,80,28,26,0.64,35,13,1,0,3,2,50
2,114,153,53,43,1.46,30,17,1,0,0,3,50
3,155,194,38,46,1.47,32,17,4,2,7,2,55
4,174,208,34,43,1.55,33,16,5,0,3,2,55
5,353,378,46,61,3.07,34,17,5,2,0,3,49
5,362,340,44,48,2.66,36,13,4,2,2,2,72
5,354,359,47,61,2.99,27,15,2,2,0,3,67
5,327,309,35,60,3.3,37,13,3,2,7,2,83
5,212,171,28,47,2.53,32,10,4,2,3,2,91
5,191,125,30,34,1.99,23,9,-2,2,3,3,92
3,112,129,31,46,1.5,21,10,0,0,4,2,71
2,107,148,38,44,1.43,21,12,-1,2,0,2,60
3,132,183,48,49,1.71,25,11,-1,2,3,2,45
4,191,245,43,70,2.26,23,13,0,2,2,2,46
4,198,243,51,69,2.28,26,12,4,3,1,3,64
4,184,190,47,39,1.67,29,12,4,3,1,2,63
3,80,37,28,34,1.24,22,6,3,1,1,3,59
1,65,38,19,26,0.86,23,8,1,2,2,2,77
2,181,217,40,43,1.68,24,7,-2,2,3,2,81
5,220,226,74,49,1.83,30,6,-4,0,2,3,80
5,219,188,55,47,1.78,30,5,-4,0,1,2,76
4,153,167,67,54,1.58,24,6,-6,0,1,3,77
3,115,139,41,52,1.53,24,8,-5,2,1,2,58
3,150,184,39,55,1.93,26,8,-3,2,1,2,66
4,202,238,45,49,1.91,28,9,-3,2,2,3,64
5,277,321,70,67,2.78,22,5,0,2,3,2,64
5,210,211,41,37,1.73,22,3,-6,0,3,3,66
2,51,83,20,26,0.79,26,6,-6,2,4,3,58
1,94,140,36,36,1.31,26,7,-7,0,3,2,44
2,112,142,39,40,1.57,28,12,-2,0,7,3,46
2,103,139,36,38,1.47,30,11,-1,0,2,2,47
1,65,38,27,26,0.84,26,13,-1,0,2,2,40
2,125,157,27,43,1.46,26,16,0,2,0,2,34
4,169,218,47,58,2.15,22,15,2,2,3,2,39
3,154,183,46,42,1.49,20,10,0,0,3,2,47
5,202,252,50,49,2.53,19,14,0,0,7,2,41
4,195,228,55,56,2.42,24,14,3,2,2,3,56
4,173,186,36,57,1.84,24,14,3,3,7,3,60
2,110,70,19,37,1.32,25,7,4,3,3,2,55
3,152,96,21,30,1.64,31,7,-1,2,1,3,96
1,73,57,18,27,0.92,21,9,-4,2,1,3,93
2,91,104,18,36,1.27,22,7,2,3,0,2,83
3,115,118,22,42,1.38,16,10,1,1,2,2,69
3,149,134,21,34,1.32,28,10,0,1,1,2,76
5,217,180,30,35,1.98,22,7,-2,0,7,3,77
3,126,102,24,39,1.53,21,8,-3,0,0,3,76
3,122,131,32,44,1.27,23,10,-2,2,0,3,85
3,120,131,32,46,1.32,29,13,0,0,2,2,66
5,213,207,29,41,1.73,28,9,-2,0,3,2,81
5,353,375,50,49,2.51,25,9,-1,2,0,3,60
